CO_UF,NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,DEPENDENCIA_ADM,LOCALIZACAO,MEDIA_5_LP,MEDIA_5_MT,MEDIA_9_LP,MEDIA_9_MT,MEDIA_12_LP,MEDIA_12_MT,nivel_0_LP5,nivel_1_LP5,nivel_2_LP5,nivel_3_LP5,nivel_4_LP5,nivel_5_LP5,nivel_6_LP5,nivel_7_LP5,nivel_8_LP5,nivel_9_LP5,nivel_0_MT5,nivel_1_MT5,nivel_2_MT5,nivel_3_MT5,nivel_4_MT5,nivel_5_MT5,nivel_6_MT5,nivel_7_MT5,nivel_8_MT5,nivel_9_MT5,nivel_10_MT5,nivel_0_LP9,nivel_1_LP9,nivel_2_LP9,nivel_3_LP9,nivel_4_LP9,nivel_5_LP9,nivel_6_LP9,nivel_7_LP9,nivel_8_LP9,nivel_0_MT9,nivel_1_MT9,nivel_2_MT9,nivel_3_MT9,nivel_4_MT9,nivel_5_MT9,nivel_6_MT9,nivel_7_MT9,nivel_8_MT9,nivel_9_MT9,nivel_0_LP12,nivel_1_LP12,nivel_2_LP12,nivel_3_LP12,nivel_4_LP12,nivel_5_LP12,nivel_6_LP12,nivel_7_LP12,nivel_8_LP12,nivel_0_MT12,nivel_1_MT12,nivel_2_MT12,nivel_3_MT12,nivel_4_MT12,nivel_5_MT12,nivel_6_MT12,nivel_7_MT12,nivel_8_MT12,nivel_9_MT12,nivel_10_MT12
24,Rio Grande do Norte,2407500,Maxaranguape,Municipal,Rural,"173,51","179,32","221,92","216,54",,,"12,91","27,64","19,79","15,96","7,39","8,7","2,08","2,3","0,93","2,3","3,61","18,16","34,36","20,13","12,9","5,09","3,46","1,15","1,15",0,0,"27,64","36,33","14,31","9,76","5,51","6,44",0,0,0,"35,38","23,2","21,06","9,65","8,63","2,07",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,Municipal,Total,"172,61","178,13","224,92","220,01",,,"13,15","27,8","19,66","16,5","6,09","9,69","2,55","1,9","0,76","1,9","2,97","17,47","35,86","22,46","11,47","5,03","2,85","0,95","0,95",0,0,"26,49","31,08","18,65","9,17","8,04","5,93","0,64",0,0,"33,44","21,85","19,27","14,91","7,38","3,16",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,Municipal,Urbana,"168,44","172,58","235,59","232,33",,,"14,29","28,57","19,05","19,05",0,"14,29","4,76",0,0,0,0,"14,29","42,86","33,33","4,76","4,76",0,0,0,0,0,"22,39","12,41","34,06","7,06","17,03","4,14","2,92",0,0,"26,53","17,03","12,89","33,58","2,92","7,06",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,Total - Estadual e Municipal,Rural,"173,51","179,32","221,92","216,54",,,"12,91","27,64","19,79","15,96","7,39","8,7","2,08","2,3","0,93","2,3","3,61","18,16","34,36","20,13","12,9","5,09","3,46","1,15","1,15",0,0,"27,64","36,33","14,31","9,76","5,51","6,44",0,0,0,"35,38","23,2","21,06","9,65","8,63","2,07",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,Total - Estadual e Municipal,Total,"173,21","179,7","224,92","220,01",,,"13,84","24,8","20,7","16,53","8,98","8,6","2,05","2,34","0,61","1,53","3,21","15,68","33,73","21,32","17,38","4,04","3,11","0,76","0,76",0,0,"26,49","31,08","18,65","9,17","8,04","5,93","0,64",0,0,"33,44","21,85","19,27","14,91","7,38","3,16",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,Total - Estadual e Municipal,Urbana,"172,62","180,44","235,59","232,33",,,"15,67","19,25","22,5","17,67","12,08","8,42",2,"2,42",0,0,"2,42","10,83","32,5","23,67","26,17",2,"2,42",0,0,0,0,"22,39","12,41","34,06","7,06","17,03","4,14","2,92",0,0,"26,53","17,03","12,89","33,58","2,92","7,06",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,"Total - Federal, Estadual e Municipal",Rural,"173,51","179,32","221,92","216,54",,,"12,91","27,64","19,79","15,96","7,39","8,7","2,08","2,3","0,93","2,3","3,61","18,16","34,36","20,13","12,9","5,09","3,46","1,15","1,15",0,0,"27,64","36,33","14,31","9,76","5,51","6,44",0,0,0,"35,38","23,2","21,06","9,65","8,63","2,07",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,"Total - Federal, Estadual e Municipal",Total,"173,21","179,7","224,92","220,01",,,"13,84","24,8","20,7","16,53","8,98","8,6","2,05","2,34","0,61","1,53","3,21","15,68","33,73","21,32","17,38","4,04","3,11","0,76","0,76",0,0,"26,49","31,08","18,65","9,17","8,04","5,93","0,64",0,0,"33,44","21,85","19,27","14,91","7,38","3,16",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,"Total - Federal, Estadual e Municipal",Urbana,"172,62","180,44","235,59","232,33",,,"15,67","19,25","22,5","17,67","12,08","8,42",2,"2,42",0,0,"2,42","10,83","32,5","23,67","26,17",2,"2,42",0,0,0,0,"22,39","12,41","34,06","7,06","17,03","4,14","2,92",0,0,"26,53","17,03","12,89","33,58","2,92","7,06",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,"Total - Federal, Estadual, Municipal e Privada",Rural,"173,51","179,32","221,92","216,54",,,"12,91","27,64","19,79","15,96","7,39","8,7","2,08","2,3","0,93","2,3","3,61","18,16","34,36","20,13","12,9","5,09","3,46","1,15","1,15",0,0,"27,64","36,33","14,31","9,76","5,51","6,44",0,0,0,"35,38","23,2","21,06","9,65","8,63","2,07",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,"Total - Federal, Estadual, Municipal e Privada",Total,"173,21","179,7","224,92","220,01",,,"13,84","24,8","20,7","16,53","8,98","8,6","2,05","2,34","0,61","1,53","3,21","15,68","33,73","21,32","17,38","4,04","3,11","0,76","0,76",0,0,"26,49","31,08","18,65","9,17","8,04","5,93","0,64",0,0,"33,44","21,85","19,27","14,91","7,38","3,16",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407500,Maxaranguape,"Total - Federal, Estadual, Municipal e Privada",Urbana,"172,62","180,44","235,59","232,33",,,"15,67","19,25","22,5","17,67","12,08","8,42",2,"2,42",0,0,"2,42","10,83","32,5","23,67","26,17",2,"2,42",0,0,0,0,"22,39","12,41","34,06","7,06","17,03","4,14","2,92",0,0,"26,53","17,03","12,89","33,58","2,92","7,06",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,Municipal,Rural,"173,21","188,43","247,73","251,62",,,"8,9","28,13","23,03","13,32","15,24","4,1","2,37","3,25",0,"1,67","1,67","15,15","24,06","23,16","17,69","10,41","5,47","2,4",0,0,0,"16,51","14,09","16,09","24,61","18,5","10,2",0,0,0,"10,1","9,68","23,23","26,81","20,08","10,1",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,Municipal,Total,"184,62","193,51","239,7","237,17",,,"6,53","21,93","17,81","17,31","19,22","6,13","5,97","3,23","0,36","1,51","0,99","11,74","20,24","25,93","19,83","12,86","6,74","1,66",0,0,0,"21,81","16,41","17,32","22,67","13,5","6,98","0,44","0,44","0,42","22,81","11,73","22,33","19,87","17,8","5,01","0,44",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,Municipal,Urbana,"192,94","197,21","237,31","232,87",,,"4,8","17,4",14,"20,22","22,12","7,61","8,6","3,22","0,62","1,4","0,5","9,26","17,46","27,95","21,39","14,66","7,66","1,12",0,0,0,"23,39","17,11","17,69","22,1","12,01","6,02","0,57","0,57","0,55","26,59","12,34","22,06","17,81","17,13","3,5","0,57",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,Total - Estadual e Municipal,Rural,"173,21","188,43","247,73","251,62",,,"8,9","28,13","23,03","13,32","15,24","4,1","2,37","3,25",0,"1,67","1,67","15,15","24,06","23,16","17,69","10,41","5,47","2,4",0,0,0,"16,51","14,09","16,09","24,61","18,5","10,2",0,0,0,"10,1","9,68","23,23","26,81","20,08","10,1",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,Total - Estadual e Municipal,Total,"184,62","193,51","239,7","237,17",,,"6,53","21,93","17,81","17,31","19,22","6,13","5,97","3,23","0,36","1,51","0,99","11,74","20,24","25,93","19,83","12,86","6,74","1,66",0,0,0,"21,81","16,41","17,32","22,67","13,5","6,98","0,44","0,44","0,42","22,81","11,73","22,33","19,87","17,8","5,01","0,44",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,Total - Estadual e Municipal,Urbana,"192,94","197,21","237,31","232,87",,,"4,8","17,4",14,"20,22","22,12","7,61","8,6","3,22","0,62","1,4","0,5","9,26","17,46","27,95","21,39","14,66","7,66","1,12",0,0,0,"23,39","17,11","17,69","22,1","12,01","6,02","0,57","0,57","0,55","26,59","12,34","22,06","17,81","17,13","3,5","0,57",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,"Total - Federal, Estadual e Municipal",Rural,"173,21","188,43","247,73","251,62",,,"8,9","28,13","23,03","13,32","15,24","4,1","2,37","3,25",0,"1,67","1,67","15,15","24,06","23,16","17,69","10,41","5,47","2,4",0,0,0,"16,51","14,09","16,09","24,61","18,5","10,2",0,0,0,"10,1","9,68","23,23","26,81","20,08","10,1",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,"Total - Federal, Estadual e Municipal",Total,"184,62","193,51","239,7","237,17",,,"6,53","21,93","17,81","17,31","19,22","6,13","5,97","3,23","0,36","1,51","0,99","11,74","20,24","25,93","19,83","12,86","6,74","1,66",0,0,0,"21,81","16,41","17,32","22,67","13,5","6,98","0,44","0,44","0,42","22,81","11,73","22,33","19,87","17,8","5,01","0,44",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,"Total - Federal, Estadual e Municipal",Urbana,"192,94","197,21","237,31","232,87",,,"4,8","17,4",14,"20,22","22,12","7,61","8,6","3,22","0,62","1,4","0,5","9,26","17,46","27,95","21,39","14,66","7,66","1,12",0,0,0,"23,39","17,11","17,69","22,1","12,01","6,02","0,57","0,57","0,55","26,59","12,34","22,06","17,81","17,13","3,5","0,57",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,"Total - Federal, Estadual, Municipal e Privada",Rural,"173,21","188,43","247,73","251,62",,,"8,9","28,13","23,03","13,32","15,24","4,1","2,37","3,25",0,"1,67","1,67","15,15","24,06","23,16","17,69","10,41","5,47","2,4",0,0,0,"16,51","14,09","16,09","24,61","18,5","10,2",0,0,0,"10,1","9,68","23,23","26,81","20,08","10,1",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,"Total - Federal, Estadual, Municipal e Privada",Total,"184,62","193,51","239,7","237,17",,,"6,53","21,93","17,81","17,31","19,22","6,13","5,97","3,23","0,36","1,51","0,99","11,74","20,24","25,93","19,83","12,86","6,74","1,66",0,0,0,"21,81","16,41","17,32","22,67","13,5","6,98","0,44","0,44","0,42","22,81","11,73","22,33","19,87","17,8","5,01","0,44",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2407807,Monte Alegre,"Total - Federal, Estadual, Municipal e Privada",Urbana,"192,94","197,21","237,31","232,87",,,"4,8","17,4",14,"20,22","22,12","7,61","8,6","3,22","0,62","1,4","0,5","9,26","17,46","27,95","21,39","14,66","7,66","1,12",0,0,0,"23,39","17,11","17,69","22,1","12,01","6,02","0,57","0,57","0,55","26,59","12,34","22,06","17,81","17,13","3,5","0,57",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408102,Natal,Estadual,Total,"197,69","206,81","240,85","240,1","263,87","256,64","5,44","11,5","17,84","19,62","16,16","14,35","9,32","3,68","1,87","0,21","1,64","7,47","14,48","22,2","22,14","16,77","8,77","4,95","1,04","0,54",0,"22,76","15,4","17,52","18,6","13,25","8,3","3,18","0,99",0,"20,5","17,58","20,02","18,54","13,35","6,84","2,39","0,63","0,16",0,"27,7","14,85","16,89","16,83","13,31","7,34","2,57","0,51",0,"31,39","15,84","18,32","17,36","10,02","4,79","1,61","0,51","0,14",0,0
24,Rio Grande do Norte,2408102,Natal,Estadual,Urbana,"197,69","206,81","240,85","240,1","263,87","256,64","5,44","11,5","17,84","19,62","16,16","14,35","9,32","3,68","1,87","0,21","1,64","7,47","14,48","22,2","22,14","16,77","8,77","4,95","1,04","0,54",0,"22,76","15,4","17,52","18,6","13,25","8,3","3,18","0,99",0,"20,5","17,58","20,02","18,54","13,35","6,84","2,39","0,63","0,16",0,"27,7","14,85","16,89","16,83","13,31","7,34","2,57","0,51",0,"31,39","15,84","18,32","17,36","10,02","4,79","1,61","0,51","0,14",0,0
24,Rio Grande do Norte,2408102,Natal,Federal,Total,"260,11","284,13",,,"338,52","349,37",0,0,0,"7,14","7,14","7,14",50,"14,29","14,29",0,0,0,0,0,"7,14","7,14","28,57","21,43","14,29","21,43",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408102,Natal,Federal,Urbana,"260,11","284,13",,,"338,52","349,37",0,0,0,"7,14","7,14","7,14",50,"14,29","14,29",0,0,0,0,0,"7,14","7,14","28,57","21,43","14,29","21,43",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408102,Natal,Municipal,Total,"192,33","202,2","241,68","241,08",,,"6,39","13,29","17,9","20,48","17,51","12,97","7,46","2,9","0,91","0,17","1,89","7,95","17,1","22,96","21,47","15,54","8,13","3,71","0,99","0,25",0,"22,06","14,52","18,62","18,58","14,06","7,82","3,57","0,78",0,"19,65","15,53","20,76","21,44","13,73","6,25","1,98","0,52","0,14",0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408102,Natal,Municipal,Urbana,"192,33","202,2","241,68","241,08",,,"6,39","13,29","17,9","20,48","17,51","12,97","7,46","2,9","0,91","0,17","1,89","7,95","17,1","22,96","21,47","15,54","8,13","3,71","0,99","0,25",0,"22,06","14,52","18,62","18,58","14,06","7,82","3,57","0,78",0,"19,65","15,53","20,76","21,44","13,73","6,25","1,98","0,52","0,14",0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408102,Natal,Total - Estadual e Municipal,Total,194,"203,63","241,18","240,49","263,87","256,64","6,1","12,74","17,88","20,22","17,09","13,4","8,04","3,14","1,21","0,18","1,81","7,8","16,28","22,72","21,68","15,92","8,33","4,1","1,01","0,34",0,"22,48","15,05","17,96","18,59","13,57","8,11","3,34","0,9",0,"20,16","16,76","20,32","19,7","13,5","6,6","2,23","0,59","0,15",0,"27,7","14,85","16,89","16,83","13,31","7,34","2,57","0,51",0,"31,39","15,84","18,32","17,36","10,02","4,79","1,61","0,51","0,14",0,0
24,Rio Grande do Norte,2408102,Natal,Total - Estadual e Municipal,Urbana,194,"203,63","241,18","240,49","263,87","256,64","6,1","12,74","17,88","20,22","17,09","13,4","8,04","3,14","1,21","0,18","1,81","7,8","16,28","22,72","21,68","15,92","8,33","4,1","1,01","0,34",0,"22,48","15,05","17,96","18,59","13,57","8,11","3,34","0,9",0,"20,16","16,76","20,32","19,7","13,5","6,6","2,23","0,59","0,15",0,"27,7","14,85","16,89","16,83","13,31","7,34","2,57","0,51",0,"31,39","15,84","18,32","17,36","10,02","4,79","1,61","0,51","0,14",0,0
24,Rio Grande do Norte,2408102,Natal,"Total - Federal, Estadual e Municipal",Total,"194,15","203,82","241,18","240,49","277,39","273,43","6,08","12,71","17,84","20,19","17,07","13,39","8,13","3,17","1,24","0,18","1,81","7,78","16,25","22,67","21,65","15,9","8,38","4,14","1,04","0,39",0,"22,48","15,05","17,96","18,59","13,57","8,11","3,34","0,9",0,"20,16","16,76","20,32","19,7","13,5","6,6","2,23","0,59","0,15",0,"27,7","14,85","16,89","16,83","13,31","7,34","2,57","0,51",0,"31,39","15,84","18,32","17,36","10,02","4,79","1,61","0,51","0,14",0,0
24,Rio Grande do Norte,2408102,Natal,"Total - Federal, Estadual e Municipal",Urbana,"194,15","203,82","241,18","240,49","277,39","273,43","6,08","12,71","17,84","20,19","17,07","13,39","8,13","3,17","1,24","0,18","1,81","7,78","16,25","22,67","21,65","15,9","8,38","4,14","1,04","0,39",0,"22,48","15,05","17,96","18,59","13,57","8,11","3,34","0,9",0,"20,16","16,76","20,32","19,7","13,5","6,6","2,23","0,59","0,15",0,"27,7","14,85","16,89","16,83","13,31","7,34","2,57","0,51",0,"31,39","15,84","18,32","17,36","10,02","4,79","1,61","0,51","0,14",0,0
24,Rio Grande do Norte,2408102,Natal,"Total - Federal, Estadual, Municipal e Privada",Total,"194,15","203,82","241,18","240,49","277,39","273,43","6,08","12,71","17,84","20,19","17,07","13,39","8,13","3,17","1,24","0,18","1,81","7,78","16,25","22,67","21,65","15,9","8,38","4,14","1,04","0,39",0,"22,48","15,05","17,96","18,59","13,57","8,11","3,34","0,9",0,"20,16","16,76","20,32","19,7","13,5","6,6","2,23","0,59","0,15",0,"27,7","14,85","16,89","16,83","13,31","7,34","2,57","0,51",0,"31,39","15,84","18,32","17,36","10,02","4,79","1,61","0,51","0,14",0,0
24,Rio Grande do Norte,2408102,Natal,"Total - Federal, Estadual, Municipal e Privada",Urbana,"194,15","203,82","241,18","240,49","277,39","273,43","6,08","12,71","17,84","20,19","17,07","13,39","8,13","3,17","1,24","0,18","1,81","7,78","16,25","22,67","21,65","15,9","8,38","4,14","1,04","0,39",0,"22,48","15,05","17,96","18,59","13,57","8,11","3,34","0,9",0,"20,16","16,76","20,32","19,7","13,5","6,6","2,23","0,59","0,15",0,"27,7","14,85","16,89","16,83","13,31","7,34","2,57","0,51",0,"31,39","15,84","18,32","17,36","10,02","4,79","1,61","0,51","0,14",0,0
24,Rio Grande do Norte,2408201,Nísia Floresta,Estadual,Rural,"165,6","180,05","250,13","246,28",,,"22,28","15,44","25,12","15,74","10,02","9,5","1,9",0,0,0,"7,84","13,83","29,82","18,17","17,02","7,59","3,81","1,9",0,0,0,"19,05","9,52","19,05","23,81","19,05","4,76",0,"4,76",0,"19,05","14,29","19,05","23,81","4,76","9,52","9,52",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,Estadual,Total,"170,01","180,14","250,13","246,28",,,"17,66","18,16","21,39","18,4","9,43","13,45","1,51",0,0,0,"7,7","10,97","29,56","21,81","19,42","6,02","3,02","1,51",0,0,0,"19,05","9,52","19,05","23,81","19,05","4,76",0,"4,76",0,"19,05","14,29","19,05","23,81","4,76","9,52","9,52",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,Estadual,Urbana,"186,83","180,49",,,,,0,"28,57","7,14","28,57","7,14","28,57",0,0,0,0,"7,14",0,"28,57","35,71","28,57",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,Municipal,Rural,"172,42","183,04","224,31","229,66",,,"19,96","15,98","17,7","14,28","14,64","9,6","7,12","0,72",0,0,"8,28","17,03","17,06","24,74","13,15","13,43","4,96","0,63","0,72",0,0,"35,26","19,87","10,26","14,74","10,26","9,62",0,0,0,"25,64","15,38","19,23","34,62",0,"5,13",0,0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,Municipal,Total,"175,1","187,18","242,01","241,44",,,"14,82","18,38","19,95","15,82","14,07","10,66","4,79","1,51",0,0,"4,7","16,26","17,85","26,56","15,34","12,34","5,7","0,58","0,67",0,0,"21,77","16,36","14,42","20,79","16,89","7,32","1,15","1,3",0,"19,79","16,88","18,12","21,92","15,74","5,52","1,1","0,92",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,Municipal,Urbana,"177,34","190,65","243,66","242,54",,,"10,52","20,39","21,84","17,11","13,58","11,54","2,85","2,17",0,0,"1,7","15,61","18,52","28,09","17,17","11,43","6,32","0,54","0,62",0,0,"20,51","16,03","14,81","21,36","17,51","7,11","1,25","1,42",0,"19,25","17,02","18,02","20,74","17,2","5,56","1,21","1,01",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,Total - Estadual e Municipal,Rural,"170,4","182,15","236,15","237,28",,,"20,65","15,82","19,9","14,72","13,27","9,57","5,57","0,5",0,0,"8,15","16,08","20,84","22,79","14,3","11,7","4,62","1,01","0,51",0,0,"27,83","15,13","14,29","18,9","14,29","7,39",0,"2,18",0,"22,62","14,88","19,15","29,66","2,18","7,14","4,37",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,Total - Estadual e Municipal,Total,"174,11","185,81","242,56","241,77",,,"15,37","18,34","20,23","16,33","13,16","11,2","4,15","1,22",0,0,"5,28","15,22","20,14","25,63","16,14","11,11","5,17","0,76","0,54",0,0,"21,58","15,9","14,73",21,"17,04","7,15","1,07","1,54",0,"19,74","16,7","18,18","22,05",15,"5,79","1,67","0,86",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,Total - Estadual e Municipal,Urbana,"178,14","189,79","243,66","242,54",,,"9,63","21,08","20,59","18,08","13,04","12,98","2,61","1,99",0,0,"2,16","14,29","19,37","28,73","18,14","10,47","5,78","0,5","0,57",0,0,"20,51","16,03","14,81","21,36","17,51","7,11","1,25","1,42",0,"19,25","17,02","18,02","20,74","17,2","5,56","1,21","1,01",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,"Total - Federal, Estadual e Municipal",Rural,"170,4","182,15","236,15","237,28",,,"20,65","15,82","19,9","14,72","13,27","9,57","5,57","0,5",0,0,"8,15","16,08","20,84","22,79","14,3","11,7","4,62","1,01","0,51",0,0,"27,83","15,13","14,29","18,9","14,29","7,39",0,"2,18",0,"22,62","14,88","19,15","29,66","2,18","7,14","4,37",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,"Total - Federal, Estadual e Municipal",Total,"174,11","185,81","242,56","241,77",,,"15,37","18,34","20,23","16,33","13,16","11,2","4,15","1,22",0,0,"5,28","15,22","20,14","25,63","16,14","11,11","5,17","0,76","0,54",0,0,"21,58","15,9","14,73",21,"17,04","7,15","1,07","1,54",0,"19,74","16,7","18,18","22,05",15,"5,79","1,67","0,86",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,"Total - Federal, Estadual e Municipal",Urbana,"178,14","189,79","243,66","242,54",,,"9,63","21,08","20,59","18,08","13,04","12,98","2,61","1,99",0,0,"2,16","14,29","19,37","28,73","18,14","10,47","5,78","0,5","0,57",0,0,"20,51","16,03","14,81","21,36","17,51","7,11","1,25","1,42",0,"19,25","17,02","18,02","20,74","17,2","5,56","1,21","1,01",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,"Total - Federal, Estadual, Municipal e Privada",Rural,"170,4","182,15","236,15","237,28",,,"20,65","15,82","19,9","14,72","13,27","9,57","5,57","0,5",0,0,"8,15","16,08","20,84","22,79","14,3","11,7","4,62","1,01","0,51",0,0,"27,83","15,13","14,29","18,9","14,29","7,39",0,"2,18",0,"22,62","14,88","19,15","29,66","2,18","7,14","4,37",0,0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,"Total - Federal, Estadual, Municipal e Privada",Total,"174,11","185,81","242,56","241,77",,,"15,37","18,34","20,23","16,33","13,16","11,2","4,15","1,22",0,0,"5,28","15,22","20,14","25,63","16,14","11,11","5,17","0,76","0,54",0,0,"21,58","15,9","14,73",21,"17,04","7,15","1,07","1,54",0,"19,74","16,7","18,18","22,05",15,"5,79","1,67","0,86",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2408201,Nísia Floresta,"Total - Federal, Estadual, Municipal e Privada",Urbana,"178,14","189,79","243,66","242,54",,,"9,63","21,08","20,59","18,08","13,04","12,98","2,61","1,99",0,0,"2,16","14,29","19,37","28,73","18,14","10,47","5,78","0,5","0,57",0,0,"20,51","16,03","14,81","21,36","17,51","7,11","1,25","1,42",0,"19,25","17,02","18,02","20,74","17,2","5,56","1,21","1,01",0,0,,,,,,,,,,,,,,,,,,,,
24,Rio Grande do Norte,2403251,Parnamirim,Estadual,Total,"174,13","193,71","241,53","239,86","268,75","266,91","5,2","22,62","26,54","25,31","8,91","4,91","5,19","1,31",0,0,"3,92","3,8","29,3","21,23","21,43","12,61","3,8","2,6",0,"1,31",0,"21,68","15,07","19,85","17,64","13,14","8,79","3,54","0,3",0,"23,7","14,74","19,32","17,57","13,64","6,26","4,04","0,47","0,26",0,"22,73","13,44","18,71","17,63","16,71","8,08","2,68",0,0,"23,47","13,6","19,07","19,07","15,11","7,05","2,27","0,25","0,11",0,0
24,Rio Grande do Norte,2403251,Parnamirim,Estadual,Urbana,"174,13","193,71","242,46","240,38","270,67","268,37","5,2","22,62","26,54","25,31","8,91","4,91","5,19","1,31",0,0,"3,92","3,8","29,3","21,23","21,43","12,61","3,8","2,6",0,"1,31",0,"21,52","14,92","18,92","18,04","13,43","8,98","3,87","0,33",0,"24,04","13,34","20,18","16,74","14,27","6,53","4,1","0,51","0,28",0,"21,99","13,07","18,04","18,25","17,26","8,48","2,91",0,0,"22,96","13,09","19,09","18,71","15,78","7,65","2,31","0,27","0,12",0,0
24,Rio Grande do Norte,2403251,Parnamirim,Municipal,Total,"199,09","205,16","248,19","247,51",,,"5,07","10,65","16,49","19,76","17,7","15,82","8,54","4,46","1,46","0,05","1,8","6,46","16,03","23,53","21,65","15,63","8,87","4,3","1,43","0,3",0,"18,02","15,15","15,02","19,61","17,69","9,65",4,"0,86",0,"17,71","13,98","20,13","19,37","15,31","8,31","3,67",1,"0,5",0,,,,,,,,,,,,,,,,,,,,
